Symbol,Name
AARTIIND,AARTI INDUSTRIES LIMITED
ACC,ACC LIMITED
ADANIENT,ADANI ENTERPRISES LIMITED
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED
ALKEM,Alkem Laboratories Limited
AMARAJABAT,AMARA RAJA BATTERIES LIMITED
AMBUJACEM,AMBUJA CEMENTS LIMITED
APLLTD,Alembic Pharmaceuticals Limited
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LIMITED
APOLLOTYRE,APOLLO TYRES LIMITED
ASHOKLEY,ASHOK LEYLAND LIMITED
ASIANPAINT,ASIAN PAINTS LIMITED
AUBANK,AU Small Finance Bank Limited
AUROPHARMA,AUROBINDO PHARMA LIMITED
AXISBANK,AXIS BANK LIMITED
BAJAJ-AUTO,BAJAJ AUTO LIMITED
BAJFINANCE,BAJAJ FINANCE LIMITED
BALKRISIND,BALKRISHNA INDUSTRIES LIMITED
BANDHANBNK,BANDHAN BANK LIMITED
BANKBARODA,BANK OF BARODA
BATAINDIA,BATA INDIA LIMITED
BEL,BHARAT ELECTRONICS LIMITED
BERGEPAINT,BERGER PAINTS (I) LIMITED
BHARATFORG,BHARAT FORGE LIMITED
BHARTIARTL,BHARTI AIRTEL LIMITED
BHEL,BHARAT HEAVY ELECTRICALS LIMITED
BIOCON,BIOCON LIMITED
BPCL,BHARAT PETROLEUM CORPORATION LIMITED
BRITANNIA,BRITANNIA INDUSTRIES LIMITED
CADILAHC,CADILA HEALTHCARE LIMITED
CANBK,CANARA BANK
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED
CIPLA,CIPLA LIMITED
COALINDIA,COAL INDIA LIMITED
COFORGE,COFORGE LIMITED
COLPAL,COLGATE PALMOLIVE (INDIA) LIMITED
CONCOR,CONTAINER CORPORATION OF INDIA LIMITED
CUB,City Union Bank Limited
CUMMINSIND,CUMMINS INDIA LIMITED
DABUR,DABUR INDIA LIMITED
DEEPAKNTR,Deepak Nitrite Limited
DIVISLAB,DIVI'S LABORATORIES LIMITED
DLF,DLF LIMITED
DRREDDY,DR. REDDY'S LABORATORIES LIMITED
EICHERMOT,EICHER MOTORS LIMITED
ESCORTS,ESCORTS LIMITED
EXIDEIND,EXIDE INDUSTRIES LIMITED
FEDERALBNK,THE FEDERAL BANK  LIMITED
GAIL,GAIL (INDIA) LIMITED
GLENMARK,GLENMARK PHARMACEUTICALS LIMITED
GMRINFRA,GMR INFRASTRUCTURE LIMITED
GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED
GODREJPROP,GODREJ PROPERTIES LIMITED
GRANULES,Granules India Limited
GRASIM,GRASIM INDUSTRIES LIMITED
GUJGASLTD,Gujarat Gas Limited
HAVELLS,HAVELLS INDIA LIMITED
HCLTECH,HCL TECHNOLOGIES LIMITED
HDFC,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED
HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LIMITED
HDFCBANK,HDFC BANK LIMITED
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED
HEROMOTOCO,HERO MOTOCORP LIMITED
HINDALCO,HINDALCO INDUSTRIES LIMITED
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LIMITED
HINDUNILVR,HINDUSTAN UNILEVER LIMITED
IBULHSGFIN,INDIABULLS HOUSING FINANCE LIMITED
ICICIBANK,ICICI BANK LIMITED
ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED
IDEA,VODAFONE IDEA LIMITED
IDFCFIRSTB,IDFC FIRST BANK LIMITED
IGL,INDRAPRASTHA GAS LIMITED
INDIGO,INTERGLOBE AVIATION LIMITED
INDUSINDBK,INDUSIND BANK LIMITED
INDUSTOWER,INDUS TOWERS LIMITED
INFY,INFOSYS LIMITED
IOC,INDIAN OIL CORPORATION LIMITED
IRCTC,Indian Railway Catering And Tourism Corporation Limited
ITC,ITC LIMITED
JINDALSTEL,JINDAL STEEL & POWER LIMITED
JSWSTEEL,JSW STEEL LIMITED
JUBLFOOD,JUBILANT FOODWORKS LIMITED
KOTAKBANK,KOTAK MAHINDRA BANK LIMITED
L&TFH,L&T FINANCE HOLDINGS LIMITED
LALPATHLAB,DR. LAL PATH LABS LTD.
LICHSGFIN,LIC HOUSING FINANCE LIMITED
LT,LARSEN & TOUBRO LIMITED
LTI,Larsen & Toubro Infotech Limited
LTTS,L&T Technology Services Limited
LUPIN,LUPIN LIMITED
M&M,MAHINDRA & MAHINDRA LIMITED
MANAPPURAM,MANAPPURAM FINANCE LIMITED
MARICO,MARICO LIMITED
MARUTI,MARUTI SUZUKI INDIA LIMITED
MCDOWELL-N,UNITED SPIRITS LIMITED
MFSL,MAX FINANCIAL SERVICES LIMITED
MGL,MAHANAGAR GAS LIMITED
MINDTREE,MINDTREE LIMITED
MOTHERSUMI,MOTHERSON SUMI SYSTEMS LIMITED
MPHASIS,Mphasis Limited
MUTHOOTFIN,MUTHOOT FINANCE LIMITED
NAM-INDIA,Nippon Life India Asset Management Limited
NATIONALUM,NATIONAL ALUMINIUM COMPANY LIMITED
NAUKRI,INFO EDGE (INDIA) LIMITED
NAVINFLUOR,Navin Fluorine International Limited
NMDC,NMDC LIMITED
NTPC,NTPC LIMITED
ONGC,OIL & NATURAL GAS CORPORATION LIMITED
PEL,PIRAMAL ENTERPRISES LIMITED
PETRONET,PETRONET LNG LIMITED
PFC,POWER FINANCE CORPORATION LIMITED
PFIZER,Pfizer Limited
PIDILITIND,PIDILITE INDUSTRIES LIMITED
PIIND,PI Industries Limited
PNB,PUNJAB NATIONAL BANK
POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED
RAMCOCEM,THE RAMCO CEMENTS LIMITED
RBLBANK,RBL BANK LIMITED
RECLTD,REC LIMITED
RELIANCE,RELIANCE INDUSTRIES LIMITED
SAIL,STEEL AUTHORITY OF INDIA LIMITED
SBILIFE,SBI LIFE INSURANCE COMPANY LIMITED
SBIN,STATE BANK OF INDIA
SIEMENS,SIEMENS LIMITED
SRF,SRF LIMITED
SRTRANSFIN,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LIMITED
SUNTV,SUN TV NETWORK LIMITED
TATACHEM,TATA CHEMICALS LIMITED
